customerEmail,orderAmount,orderId,orderShippingAddress,orderState
josephhoward@yahoo.com,18,vjbdvd,"5493 Jones Islands
Brownside, CA 51896",pending
josephhoward@yahoo.com,26,yp6x27,"5493 Jones Islands
Brownside, CA 51896",fulfilled
josephhoward@yahoo.com,18,vjbdvd,"5493 Jones Islands
Brownside, CA 51896",pending
josephhoward@yahoo.com,26,yp6x27,"5493 Jones Islands
Brownside, CA 51896",fulfilled
evansjeffery@yahoo.com,45,nlghpa,"898 Henry Ports
New Keithview, CA 95893-2497",fulfilled
evansjeffery@yahoo.com,23,uw0eeb,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",fulfilled
evansjeffery@yahoo.com,43,bn44oh,"5093 Bryan Forks
Joshuaton, FM 01565-9801",fulfilled
andersonwilliam@yahoo.com,33,yk34y2,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",failed
andersonwilliam@yahoo.com,24,28v6b0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",fulfilled
andersonwilliam@yahoo.com,25,itnk8y,"22396 Victor Lights
Carsonstad, MO 93914",fulfilled
rubenjuarez@yahoo.com,34,fbz9ep,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled
rubenjuarez@yahoo.com,26,7odnn6,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",fulfilled
rubenjuarez@yahoo.com,25,audx7o,"428 Ricardo Mountain
Port Lorihaven, UT 07665-3981",fulfilled
uchen@malone.com,71,56h7iw,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled
uchen@malone.com,66,kowj1v,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled
uchen@malone.com,69,wlznfu,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",failed
uchen@malone.com,46,hm3rth,"620 Alexander Views
Michaelstad, AK 94959-7484",fulfilled
uchen@malone.com,68,vvq05w,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled
uchen@malone.com,59,xwo0al,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled
uchen@malone.com,32,2528x8,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",fulfilled
robinsoncynthia@dunn.com,25,vq7j5b,"764 Collier Springs
Jackfurt, NE 95955-5328",pending
samuel15@saunders-rhodes.com,40,sq7rk9,"9447 Cook Extensions
Rebeccahaven, NY 78148-0238",fulfilled
johnlowery@gmail.com,65,kanub7,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled
johnlowery@gmail.com,36,605pbl,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",failed
johnlowery@gmail.com,68,7fs5td,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled
johnlowery@gmail.com,74,ccuh4k,"27513 Betty Gardens Suite 901
Stewartport, CA 27936-0627",fulfilled
johnlowery@gmail.com,55,lajvhn,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",fulfilled
jameslandry@rodriguez.com,25,mtg9kj,"USNS Price
FPO AE 14661",fulfilled
jameslandry@rodriguez.com,21,1b71xd,"USNS Price
FPO AE 14661",pending
bowenwilliam@yahoo.com,40,a0dh26,"256 Vang Prairie Suite 748
West Troyland, IA 65490-2272",fulfilled
bowenwilliam@yahoo.com,18,izik2o,"27061 Wright Forks
Craigland, MN 59915",pending
bowenwilliam@yahoo.com,46,2sumqh,"27061 Wright Forks
Craigland, MN 59915",failed
bowenwilliam@yahoo.com,12,kcmymd,"27061 Wright Forks
Craigland, MN 59915",fulfilled
bowenwilliam@yahoo.com,11,mocbj3,"27061 Wright Forks
Craigland, MN 59915",fulfilled
ksummers@hotmail.com,12,ji75jj,"5918 Jeremy Spur Apt. 524
Martinborough, SC 73839-0349",fulfilled
ksummers@hotmail.com,30,5lyh0x,"7792 Lambert Flats
Jessicaland, OK 69264",fulfilled
ksummers@hotmail.com,49,ha14ey,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled
ksummers@hotmail.com,45,ni3keo,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled
ksummers@hotmail.com,28,vvo42o,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",fulfilled
christineklein@wright-boyd.org,10,abc26t,"PSC 4895, Box 9024
APO AA 50628-5796",fulfilled
christineklein@wright-boyd.org,45,bdzhkd,"67636 Renee Islands Suite 307
Teresaview, ND 09042",pending
christineklein@wright-boyd.org,46,l8smyt,"957 Sheila Prairie
West Jacquelineburgh, DE 46455-3868",fulfilled
christineklein@wright-boyd.org,16,0esxhp,"355 Tamara Plains
North Judyton, LA 04531",fulfilled
meganwalters@chavez.com,43,ooxrwm,"PSC 5530, Box 9664
APO AE 46314",fulfilled
meganwalters@chavez.com,34,2p3zor,"00287 Davidson Stravenue
New Staceytown, ND 18845",fulfilled
caleb94@sutton.info,19,49zp0m,"813 Miller Lakes
Lake Christina, SD 29778-1298",failed
caleb94@sutton.info,46,eqpu3r,"813 Miller Lakes
Lake Christina, SD 29778-1298",fulfilled
caleb94@sutton.info,39,gzlvco,"813 Miller Lakes
Lake Christina, SD 29778-1298",fulfilled
caleb94@sutton.info,35,p1yden,"813 Miller Lakes
Lake Christina, SD 29778-1298",fulfilled
caleb94@sutton.info,46,bkvs1p,"813 Miller Lakes
Lake Christina, SD 29778-1298",failed
gonzalesjackson@gmail.com,50,s7dg4a,"60769 Yang Fork
Port Samanthachester, OH 10135-7083",fulfilled
gonzalesjackson@gmail.com,41,jlzkil,"566 Courtney Stream
Reedland, NH 84853",fulfilled
gonzalesjackson@gmail.com,44,f8bsyg,"611 Steven Land Suite 843
Loganhaven, NY 14012",fulfilled
gonzalesjackson@gmail.com,41,u3ogjs,"566 Courtney Stream
Reedland, NH 84853",fulfilled
dana09@yahoo.com,12,giqilg,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",fulfilled
dana09@yahoo.com,33,g56nmt,"5145 Marquez Oval
South Lisaborough, RI 54165",fulfilled
dana09@yahoo.com,40,2ai67b,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",fulfilled
alec27@bell.com,34,28xxko,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",pending
alec27@bell.com,12,iyl91j,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled
alec27@bell.com,30,j7ene4,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled
alec27@bell.com,22,mir5zf,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",fulfilled
juliecook@hotmail.com,11,p6g2g0,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",fulfilled
juliecook@hotmail.com,14,7y5qly,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",fulfilled
meganberry@clark.biz,37,1d19rh,"833 Mathis Prairie
Fergusonview, MH 81934-1374",fulfilled
meganberry@clark.biz,42,deh1ao,"34944 Glenn Mountain
Sherryhaven, TN 36252",fulfilled
meganberry@clark.biz,11,xdmwyo,"34944 Glenn Mountain
Sherryhaven, TN 36252",fulfilled
meganberry@clark.biz,29,00z9c8,"34944 Glenn Mountain
Sherryhaven, TN 36252",fulfilled
psantiago@nelson.net,31,f5vg4r,"238 Reeves Villages
Leslieton, SD 12318-4476",fulfilled
harrisnicholas@mitchell-hancock.com,33,xxn508,"357 Barbara Crossroad
Jacobsburgh, WY 09289-9170",failed
harrisnicholas@mitchell-hancock.com,47,5vvhqu,"357 Barbara Crossroad
Jacobsburgh, WY 09289-9170",fulfilled
harrisnicholas@mitchell-hancock.com,25,o5mg40,"357 Barbara Crossroad
Jacobsburgh, WY 09289-9170",fulfilled
harrisnicholas@mitchell-hancock.com,25,dfwo2l,"357 Barbara Crossroad
Jacobsburgh, WY 09289-9170",fulfilled
davismike@hotmail.com,33,j8w6hq,"07078 Brent Ways Apt. 999
Alvarezshire, ND 82309",fulfilled
davismike@hotmail.com,48,vo9fep,"07078 Brent Ways Apt. 999
Alvarezshire, ND 82309",failed
davismike@hotmail.com,11,yqijlk,"07078 Brent Ways Apt. 999
Alvarezshire, ND 82309",fulfilled
natalie98@yahoo.com,23,ssdsca,"23831 Adams Tunnel Suite 538
North David, NE 92200-7011",fulfilled
karen54@mullins.biz,38,xm4p49,"526 Ronald Cliffs
West Christinaville, GU 76418",fulfilled
karen54@mullins.biz,12,w3av5p,"526 Ronald Cliffs
West Christinaville, GU 76418",fulfilled
karen54@mullins.biz,15,94y9qn,"51492 Sanchez Junctions Suite 947
Port Madeline, GU 69686",failed
karen54@mullins.biz,11,h0j383,"526 Ronald Cliffs
West Christinaville, GU 76418",fulfilled
karen54@mullins.biz,39,8iq07j,"137 Justin Circle Suite 952
Henrymouth, CO 60210-8162",failed
avaldez@gmail.com,19,uotwbi,"304 Heather Fall
East Christina, UT 45880-4522",fulfilled
blackjoel@wright.com,45,f3zu8d,"Unit 0643 Box 8346
DPO AA 55632-6780",fulfilled
blackjoel@wright.com,50,kv9he2,"Unit 0643 Box 8346
DPO AA 55632-6780",fulfilled
blackjoel@wright.com,42,cs48h5,"Unit 0643 Box 8346
DPO AA 55632-6780",fulfilled
blackjoel@wright.com,10,eonqhv,"Unit 0643 Box 8346
DPO AA 55632-6780",fulfilled
blackjoel@wright.com,30,zxk81a,"Unit 0643 Box 8346
DPO AA 55632-6780",fulfilled
abigail08@yahoo.com,48,naiygn,"419 Janice Manors Apt. 698
New Susanview, PA 33955-3875",failed
abigail08@yahoo.com,42,any2ki,"129 Sandra Meadows Suite 923
East Jenniferport, SC 47493",pending
abigail08@yahoo.com,29,l98c04,"3764 Stanley Hollow
East Catherine, CT 98470",fulfilled
catherine64@gmail.com,65,j4izq0,"372 Michael Club Suite 553
Herrerafort, MH 52953",failed
catherine64@gmail.com,75,81bac4,"372 Michael Club Suite 553
Herrerafort, MH 52953",pending
catherine64@gmail.com,58,y73qvk,"372 Michael Club Suite 553
Herrerafort, MH 52953",fulfilled
catherine64@gmail.com,58,sd4v17,"2182 Samantha Gardens
Elliottview, MP 18669",fulfilled
romerolauren@hotmail.com,32,ag3x4z,"34958 Sean View
West Robert, DE 93344-9833",fulfilled
romerolauren@hotmail.com,36,rn62d8,"34958 Sean View
West Robert, DE 93344-9833",fulfilled
qramsey@hotmail.com,14,x4u7kx,"87265 Woods Square
Port Heidimouth, LA 03208-8304",fulfilled
qramsey@hotmail.com,15,du631k,"87265 Woods Square
Port Heidimouth, LA 03208-8304",fulfilled
qramsey@hotmail.com,46,eunjto,"87265 Woods Square
Port Heidimouth, LA 03208-8304",fulfilled
qramsey@hotmail.com,18,mlsqph,"87265 Woods Square
Port Heidimouth, LA 03208-8304",fulfilled
