customerEmail,paymentMethodId,paymentMethodIssuer,paymentMethodProvider,paymentMethodRegistrationFailure,paymentMethodType
josephhoward@yahoo.com,wt07xm68b,Citizens First Banks,JCB 16 digit,True,card
evansjeffery@yahoo.com,y3xp697jx,Solace Banks,VISA 16 digit,True,bitcoin
evansjeffery@yahoo.com,6krszxc05,Vertex Bancorp,VISA 16 digit,False,card
evansjeffery@yahoo.com,5z1szj2he,His Majesty Bank Corp.,Diners Club / Carte Blanche,False,card
evansjeffery@yahoo.com,m52tx8e1s,Vertex Bancorp,Mastercard,False,card
evansjeffery@yahoo.com,41ug157xz,Bastion Banks,American Express,False,bitcoin
evansjeffery@yahoo.com,4dpg5sx2b,Her Majesty Trust,Maestro,False,card
evansjeffery@yahoo.com,bcx9pa3wf,Fountain Financial Inc.,JCB 16 digit,False,card
andersonwilliam@yahoo.com,8pneoi03z,Bastion Banks,JCB 16 digit,False,card
andersonwilliam@yahoo.com,dluy3jka0,His Majesty Bank Corp.,Discover,False,card
rubenjuarez@yahoo.com,pdxjdwui4,Grand Credit Corporation,Voyager,False,card
uchen@malone.com,w1i1zq3rg,Grand Credit Corporation,American Express,False,apple pay
uchen@malone.com,7o30osjpd,His Majesty Bank Corp.,JCB 16 digit,False,apple pay
uchen@malone.com,76bw9eqg2,His Majesty Bank Corp.,VISA 16 digit,False,apple pay
uchen@malone.com,gehl28i8u,Bastion Banks,JCB 16 digit,False,card
uchen@malone.com,olr4zf09x,Grand Credit Corporation,VISA 13 digit,False,card
uchen@malone.com,s6escw45g,Solace Banks,JCB 16 digit,False,card
robinsoncynthia@dunn.com,wferzj9en,B,JCB 15 digit,False,paypal
robinsoncynthia@dunn.com,n5fj5bc0e,p,VISA 16 digit,False,card
samuel15@saunders-rhodes.com,je76d0ulj,x,VISA 13 digit,False,apple pay
samuel15@saunders-rhodes.com,dgrnyith9,e,JCB 16 digit,False,card
johnlowery@gmail.com,8xex97krx,Her Majesty Trust,VISA 16 digit,False,card
johnlowery@gmail.com,yxsf33ipw,Bulwark Trust Corp.,Voyager,False,bitcoin
jameslandry@rodriguez.com,yk3gx9knx,Her Majesty Trust,Discover,False,card
ubranch@rivera-parker.info,37264k8rb,His Majesty Bank Corp.,Mastercard,False,paypal
bowenwilliam@yahoo.com,4nt3vg6nr,c,Discover,False,card
ksummers@hotmail.com,anpl44kz2,Bastion Banks,American Express,False,card
ksummers@hotmail.com,12sooz8hm,Vertex Bancorp,Maestro,False,bitcoin
ksummers@hotmail.com,ahnb9wv33,Her Majesty Trust,VISA 13 digit,False,card
ksummers@hotmail.com,14t4urgqg,Vertex Bancorp,Discover,False,card
christineklein@wright-boyd.org,9pfrhknoz,Citizens First Banks,VISA 16 digit,False,bitcoin
christineklein@wright-boyd.org,ow9u8ogs4,Vertex Bancorp,VISA 16 digit,False,card
